Nombre,Cadena,Volumen30d,Cambio30d,MarketCap,PrecioMinimo,PrecioMedio,Ventas30d,ActivosTotal,Propietarios
NextGen 6529,Ethereum,273.66,66.75%,1540.9,1.39,2.4878,110,1000,496	
Rosentica: Starfall Travelers,Ethereum,270.51,61.77%,443.4,0.085,0.104,2601,6000,1265	
Gas Hero Items,Polygon,233.16,3.47%,2237.84,0.0053,0.0143,16211,177010,722	
DigiDaigaku,Ethereum,263.36,86.43%,4942.78,2.875,2.9263,90,2022,697
FLUF,Ethereum,261.19,27.25%,8554,0.768,1.0163,257,10000,3210	
Sugartown Oras,Ethereum,260.86,64.46%,1354.47,0.1919,0.2603,1002,6515,2118	
Loot,Ethereum,255.68,361.01%,2945.13,0.399,0.8667,295,7779,2437	
0N1 Force,Ethereum,251.29,64.86%,3438.21,0.38,0.5997,419,7777,3716	
Emby,Ethereum,250.55,80.87%,777.7,0.33,0.292,858,2750,1038	
Genkai,Ethereum,247.09,69.72%,1569.22,0.097,0.1854,1333,13001,3257	
